angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.73,,"[567, 277, 165, 206]",,0.0,,0.03,,0.01,,0.17,,0.05,,0.01,
0.79,,"[566, 279, 162, 203]",,0.01,,0.03,,0.05,,0.06,,0.06,,0.0,
0.72,,"[566, 278, 159, 202]",,0.0,,0.07,,0.01,,0.12,,0.05,,0.04,
0.96,,"[560, 260, 173, 226]",,0.01,,0.01,,0.0,,0.0,,0.01,,0.0,
0.97,,"[559, 262, 181, 226]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.99,,"[557, 262, 183, 228]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.99,,"[559, 261, 182, 228]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 261, 183, 229]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[561, 262, 181, 228]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.95,,"[565, 278, 164, 208]",,0.0,,0.01,,0.0,,0.02,,0.02,,0.0,
0.98,,"[562, 260, 178, 228]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.97,,"[564, 262, 175, 225]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.84,,"[565, 276, 162, 212]",,0.0,,0.02,,0.0,,0.08,,0.05,,0.0,
0.98,,"[563, 273, 166, 215]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.99,,"[564, 274, 164, 212]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
